vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,binaryClass
adviser,125.0,256.0,6000.0,256.0,16,128,N
amdahl,29.0,8000.0,32000.0,32.0,8,32,N
amdahl,29.0,8000.0,32000.0,32.0,8,32,N
amdahl,29.0,8000.0,32000.0,32.0,8,32,N
amdahl,29.0,8000.0,16000.0,32.0,8,16,N
amdahl,26.0,8000.0,32000.0,64.0,8,32,N
amdahl,23.0,16000.0,32000.0,64.0,16,32,N
amdahl,23.0,16000.0,32000.0,64.0,16,32,N
amdahl,23.0,16000.0,64000.0,64.0,16,32,N
amdahl,23.0,32000.0,64000.0,128.0,32,64,N
apollo,400.0,1000.0,3000.0,0.0,1,2,P
apollo,400.0,512.0,3500.0,4.0,1,6,P
basf,60.0,2000.0,8000.0,65.0,1,8,P
basf,50.0,4000.0,16000.0,65.0,1,8,N
bti,350.0,64.0,64.0,0.0,1,4,P
bti,200.0,512.0,16000.0,0.0,4,32,P
burroughs,167.0,524.0,2000.0,8.0,4,15,P
burroughs,143.0,512.0,5000.0,0.0,7,32,P
burroughs,143.0,1000.0,2000.0,0.0,5,16,P
burroughs,110.0,5000.0,5000.0,142.0,8,64,N
burroughs,143.0,1500.0,6300.0,0.0,5,32,P
burroughs,143.0,3100.0,6200.0,0.0,5,20,P
burroughs,143.0,2300.0,6200.0,0.0,6,64,P
burroughs,110.0,3100.0,6200.0,0.0,6,64,P
c.r.d,320.0,128.0,6000.0,0.0,1,12,P
c.r.d,320.0,512.0,2000.0,4.0,1,3,P
c.r.d,320.0,256.0,6000.0,0.0,1,6,P
c.r.d,320.0,256.0,3000.0,4.0,1,3,P
c.r.d,320.0,512.0,5000.0,4.0,1,5,P
c.r.d,320.0,256.0,5000.0,4.0,1,6,P
cdc,25.0,1310.0,2620.0,131.0,12,24,N
cdc,25.0,1310.0,2620.0,131.0,12,24,N
cdc,50.0,2620.0,10480.0,30.0,12,24,P
cdc,50.0,2620.0,10480.0,30.0,12,24,P
cdc,56.0,5240.0,20970.0,30.0,12,24,N
cdc,64.0,5240.0,20970.0,30.0,12,24,N
cdc,50.0,500.0,2000.0,8.0,1,4,P
cdc,50.0,1000.0,4000.0,8.0,1,5,P
cdc,50.0,2000.0,8000.0,8.0,1,5,P
cambex,50.0,1000.0,4000.0,8.0,3,5,P
cambex,50.0,1000.0,8000.0,8.0,3,5,P
cambex,50.0,2000.0,16000.0,8.0,3,5,P
cambex,50.0,2000.0,16000.0,8.0,3,6,P
cambex,50.0,2000.0,16000.0,8.0,3,6,P
dec,133.0,1000.0,12000.0,9.0,3,12,P
dec,133.0,1000.0,8000.0,9.0,3,12,P
dec,810.0,512.0,512.0,8.0,1,1,P
dec,810.0,1000.0,5000.0,0.0,1,1,P
dec,320.0,512.0,8000.0,4.0,1,5,P
dec,200.0,512.0,8000.0,8.0,1,8,P
dg,700.0,384.0,8000.0,0.0,1,1,P
dg,700.0,256.0,2000.0,0.0,1,1,P
dg,140.0,1000.0,16000.0,16.0,1,3,P
dg,200.0,1000.0,8000.0,0.0,1,2,P
dg,110.0,1000.0,4000.0,16.0,1,2,P
dg,110.0,1000.0,12000.0,16.0,1,2,P
dg,220.0,1000.0,8000.0,16.0,1,2,P
formation,800.0,256.0,8000.0,0.0,1,4,P
formation,800.0,256.0,8000.0,0.0,1,4,P
formation,800.0,256.0,8000.0,0.0,1,4,P
formation,800.0,256.0,8000.0,0.0,1,4,P
formation,800.0,256.0,8000.0,0.0,1,4,P
four-phase,125.0,512.0,1000.0,0.0,8,20,P
gould,75.0,2000.0,8000.0,64.0,1,38,P
gould,75.0,2000.0,16000.0,64.0,1,38,N
gould,75.0,2000.0,16000.0,128.0,1,38,N
hp,90.0,256.0,1000.0,0.0,3,10,P
hp,105.0,256.0,2000.0,0.0,3,10,P
hp,105.0,1000.0,4000.0,0.0,3,24,P
hp,105.0,2000.0,4000.0,8.0,3,19,P
hp,75.0,2000.0,8000.0,8.0,3,24,P
hp,75.0,3000.0,8000.0,8.0,3,48,P
hp,175.0,256.0,2000.0,0.0,3,24,P
harris,300.0,768.0,3000.0,0.0,6,24,P
harris,300.0,768.0,3000.0,6.0,6,24,P
harris,300.0,768.0,12000.0,6.0,6,24,P
harris,300.0,768.0,4500.0,0.0,1,24,P
harris,300.0,384.0,12000.0,6.0,1,24,P
harris,300.0,192.0,768.0,6.0,6,24,P
harris,180.0,768.0,12000.0,6.0,1,31,P
honeywell,330.0,1000.0,3000.0,0.0,2,4,P
honeywell,300.0,1000.0,4000.0,8.0,3,64,P
honeywell,300.0,1000.0,16000.0,8.0,2,112,P
honeywell,330.0,1000.0,2000.0,0.0,1,2,P
honeywell,330.0,1000.0,4000.0,0.0,3,6,P
honeywell,140.0,2000.0,4000.0,0.0,3,6,P
honeywell,140.0,2000.0,4000.0,0.0,4,8,P
honeywell,140.0,2000.0,4000.0,8.0,1,20,P
honeywell,140.0,2000.0,32000.0,32.0,1,20,N
honeywell,140.0,2000.0,8000.0,32.0,1,54,P
honeywell,140.0,2000.0,32000.0,32.0,1,54,N
honeywell,140.0,2000.0,32000.0,32.0,1,54,N
honeywell,140.0,2000.0,4000.0,8.0,1,20,P
ibm,57.0,4000.0,16000.0,1.0,6,12,P
ibm,57.0,4000.0,24000.0,64.0,12,16,N
ibm,26.0,16000.0,32000.0,64.0,16,24,N
ibm,26.0,16000.0,32000.0,64.0,8,24,N
ibm,26.0,8000.0,32000.0,0.0,8,24,N
ibm,26.0,8000.0,16000.0,0.0,8,16,N
ibm,480.0,96.0,512.0,0.0,1,1,P
ibm,203.0,1000.0,2000.0,0.0,1,5,P
ibm,115.0,512.0,6000.0,16.0,1,6,P
ibm,1100.0,512.0,1500.0,0.0,1,1,P
ibm,1100.0,768.0,2000.0,0.0,1,1,P
ibm,600.0,768.0,2000.0,0.0,1,1,P
ibm,400.0,2000.0,4000.0,0.0,1,1,P
ibm,400.0,4000.0,8000.0,0.0,1,1,P
ibm,900.0,1000.0,1000.0,0.0,1,2,P
ibm,900.0,512.0,1000.0,0.0,1,2,P
ibm,900.0,1000.0,4000.0,4.0,1,2,P
ibm,900.0,1000.0,4000.0,8.0,1,2,P
ibm,900.0,2000.0,4000.0,0.0,3,6,P
ibm,225.0,2000.0,4000.0,8.0,3,6,P
ibm,225.0,2000.0,4000.0,8.0,3,6,P
ibm,180.0,2000.0,8000.0,8.0,1,6,P
ibm,185.0,2000.0,16000.0,16.0,1,6,P
ibm,180.0,2000.0,16000.0,16.0,1,6,P
ibm,225.0,1000.0,4000.0,2.0,3,6,P
ibm,25.0,2000.0,12000.0,8.0,1,4,P
ibm,25.0,2000.0,12000.0,16.0,3,5,P
ibm,17.0,4000.0,16000.0,8.0,6,12,N
ibm,17.0,4000.0,16000.0,32.0,6,12,N
ibm,1500.0,768.0,1000.0,0.0,0,0,P
ibm,1500.0,768.0,2000.0,0.0,0,0,P
ibm,800.0,768.0,2000.0,0.0,0,0,P
ipl,50.0,2000.0,4000.0,0.0,3,6,P
ipl,50.0,2000.0,8000.0,8.0,3,6,P
ipl,50.0,2000.0,8000.0,8.0,1,6,P
ipl,50.0,2000.0,16000.0,24.0,1,6,P
ipl,50.0,2000.0,16000.0,24.0,1,6,P
ipl,50.0,8000.0,16000.0,48.0,1,10,N
magnuson,100.0,1000.0,8000.0,0.0,2,6,P
magnuson,100.0,1000.0,8000.0,24.0,2,6,P
magnuson,100.0,1000.0,8000.0,24.0,3,6,P
magnuson,50.0,2000.0,16000.0,12.0,3,16,P
magnuson,50.0,2000.0,16000.0,24.0,6,16,P
magnuson,50.0,2000.0,16000.0,24.0,6,16,P
microdata,150.0,512.0,4000.0,0.0,8,128,P
nas,115.0,2000.0,8000.0,16.0,1,3,P
nas,115.0,2000.0,4000.0,2.0,1,5,P
nas,92.0,2000.0,8000.0,32.0,1,6,P
nas,92.0,2000.0,8000.0,32.0,1,6,P
nas,92.0,2000.0,8000.0,4.0,1,6,P
nas,75.0,4000.0,16000.0,16.0,1,6,P
nas,60.0,4000.0,16000.0,32.0,1,6,P
nas,60.0,2000.0,16000.0,64.0,5,8,N
nas,60.0,4000.0,16000.0,64.0,5,8,N
nas,50.0,4000.0,16000.0,64.0,5,10,N
nas,72.0,4000.0,16000.0,64.0,8,16,N
nas,72.0,2000.0,8000.0,16.0,6,8,P
nas,40.0,8000.0,16000.0,32.0,8,16,N
nas,40.0,8000.0,32000.0,64.0,8,24,N
nas,35.0,8000.0,32000.0,64.0,8,24,N
nas,38.0,16000.0,32000.0,128.0,16,32,N
nas,48.0,4000.0,24000.0,32.0,8,24,N
nas,38.0,8000.0,32000.0,64.0,8,24,N
nas,30.0,16000.0,32000.0,256.0,16,24,N
ncr,112.0,1000.0,1000.0,0.0,1,4,P
ncr,84.0,1000.0,2000.0,0.0,1,6,P
ncr,56.0,1000.0,4000.0,0.0,1,6,P
ncr,56.0,2000.0,6000.0,0.0,1,8,P
ncr,56.0,2000.0,8000.0,0.0,1,8,P
ncr,56.0,4000.0,8000.0,0.0,1,8,P
ncr,56.0,4000.0,12000.0,0.0,1,8,P
ncr,56.0,4000.0,16000.0,0.0,1,8,P
ncr,38.0,4000.0,8000.0,32.0,16,32,P
ncr,38.0,4000.0,8000.0,32.0,16,32,P
ncr,38.0,8000.0,16000.0,64.0,4,8,N
ncr,38.0,8000.0,24000.0,160.0,4,8,N
ncr,38.0,4000.0,16000.0,128.0,16,32,N
nixdorf,200.0,1000.0,2000.0,0.0,1,2,P
nixdorf,200.0,1000.0,4000.0,0.0,1,4,P
nixdorf,200.0,2000.0,8000.0,64.0,1,5,P
perkin-elmer,250.0,512.0,4000.0,0.0,1,7,P
perkin-elmer,250.0,512.0,4000.0,0.0,4,7,P
perkin-elmer,250.0,1000.0,16000.0,1.0,1,8,P
prime,160.0,512.0,4000.0,2.0,1,5,P
prime,160.0,512.0,2000.0,2.0,3,8,P
prime,160.0,1000.0,4000.0,8.0,1,14,P
prime,160.0,1000.0,8000.0,16.0,1,14,P
prime,160.0,2000.0,8000.0,32.0,1,13,P
siemens,240.0,512.0,1000.0,8.0,1,3,P
siemens,240.0,512.0,2000.0,8.0,1,5,P
siemens,105.0,2000.0,4000.0,8.0,3,8,P
siemens,105.0,2000.0,6000.0,16.0,6,16,P
siemens,105.0,2000.0,8000.0,16.0,4,14,P
siemens,52.0,4000.0,16000.0,32.0,4,12,P
siemens,70.0,4000.0,12000.0,8.0,6,8,P
siemens,59.0,4000.0,12000.0,32.0,6,12,P
siemens,59.0,8000.0,16000.0,64.0,12,24,N
siemens,26.0,8000.0,24000.0,32.0,8,16,N
siemens,26.0,8000.0,32000.0,64.0,12,16,N
siemens,26.0,8000.0,32000.0,128.0,24,32,N
sperry,116.0,2000.0,8000.0,32.0,5,28,P
sperry,50.0,2000.0,32000.0,24.0,6,26,N
sperry,50.0,2000.0,32000.0,48.0,26,52,N
sperry,50.0,2000.0,32000.0,112.0,52,104,N
sperry,50.0,4000.0,32000.0,112.0,52,104,N
sperry,30.0,8000.0,64000.0,96.0,12,176,N
sperry,30.0,8000.0,64000.0,128.0,12,176,N
sperry,180.0,262.0,4000.0,0.0,1,3,P
sperry,180.0,512.0,4000.0,0.0,1,3,P
sperry,180.0,262.0,4000.0,0.0,1,3,P
sperry,180.0,512.0,4000.0,0.0,1,3,P
sperry,124.0,1000.0,8000.0,0.0,1,8,P
sperry,98.0,1000.0,8000.0,32.0,2,8,P
sratus,125.0,2000.0,8000.0,0.0,2,14,P
wang,480.0,512.0,8000.0,32.0,0,0,P
wang,480.0,1000.0,4000.0,0.0,0,0,P
